"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1","1","1000uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_10x10.5",""
"C2","1","470uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_8x10.5",""
"C3,C7","2","22uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4,C5,C8,C11,C12,C13,C14,C17,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32","19","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C6","1","100uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_6.3x5.4",""
"C9","1","22uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_4x5.4",""
"C10","1","180uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_8x10",""
"C15","1","220nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C16,C20,C21","3","2.2uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C18,C19","2","22pF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C33,C35","2","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C34","1","10nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","D_TVS","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMB_Handsoldering",""
"D2","1","SS14","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"D3,D4,D5","3","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D6","1","SM712_SOT23","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf"
"F1","1","Fuse","","","","","${EXCLUDE_FROM_POS_FILES}","Fuse:Fuse_1206_3216Metric",""
